ID,Longitude,Latitude,Species
1,-71.17250497,-34.198248,J_chilensis
2,-71.15596002,-34.207278,J_chilensis
3,-71.53105396,-33.07975704,J_chilensis
4,-71.900181,-34.651997,J_chilensis
5,-71.00446488,-34.03800613,J_chilensis
6,-71.155951,-33.846126,J_chilensis
7,-71.01605628,-34.04982483,J_chilensis
8,-70.979222,-34.13969,J_chilensis
9,-71.15,-31.7333,J_chilensis
10,-71.2167,-32.0167,J_chilensis
11,-71.1333,-32.0833,J_chilensis
12,-71.5,-33.05,J_chilensis
13,-71.5333,-33.0833,J_chilensis
14,-71.2333,-33.9667,J_chilensis
15,-71.7833,-34.4167,J_chilensis
16,-71.4833,-34.85,J_chilensis
17,-71.07105687,-32.9342849,J_chilensis
18,-71.13554937,-32.19407701,J_chilensis
19,-71.13754812,-32.18929429,J_chilensis
20,-71.14680422,-32.1812993,J_chilensis
21,-71.15765456,-32.1680457,J_chilensis
22,-71.15080291,-32.16517607,J_chilensis
23,-71.14390247,-32.17293906,J_chilensis
24,-71.80166023,-34.95863197,J_chilensis
25,-71.08158,-32.93936,J_chilensis
26,-71.08828001,-32.93122502,J_chilensis
27,-71.14425,-34.20074397,J_chilensis
28,-71.08199098,-32.93220202,J_chilensis
29,-71.08739203,-32.936543,J_chilensis
30,-71.08404597,-32.94290202,J_chilensis
31,-71.08021603,-32.945602,J_chilensis
32,-71.07571796,-32.95082602,J_chilensis
33,-71.06862503,-32.95400703,J_chilensis
34,-71.077623,-32.93455096,J_chilensis
35,-71.06324703,-32.95761201,J_chilensis
36,-71.05885601,-32.961278,J_chilensis
37,-71.162672,-34.19891001,J_chilensis
38,-71.15682302,-34.20054297,J_chilensis
39,-71.15101696,-34.20100297,J_chilensis
40,-71.17980704,-34.19756798,J_chilensis
41,-71.15660098,-34.20597101,J_chilensis
42,-71.13928498,-34.20193998,J_chilensis
43,-71.13487199,-34.205237,J_chilensis
44,-71.17151599,-34.19838002,J_chilensis
45,-71.51191397,-33.07610898,J_chilensis
46,-71.51191296,-33.07171703,J_chilensis
47,-71.51265803,-33.06732701,J_chilensis
48,-71.522433,-33.07435901,J_chilensis
49,-71.50410497,-33.07115301,J_chilensis
50,-71.52607603,-33.07955998,J_chilensis
51,-71.05123345,-32.9629488,J_chilensis
52,-71.05736031,-32.96611027,J_chilensis
53,-71.0530472,-32.97012343,J_chilensis
54,-71.07006183,-32.96584219,J_chilensis
55,-71.06762816,-32.97116994,J_chilensis
56,-71.0889257,-32.94546716,J_chilensis
57,-71.06620637,-32.93698178,J_chilensis
58,-71.07550574,-32.94689929,J_chilensis
59,-71.07100865,-32.95791151,J_chilensis
60,-71.07848425,-32.95465588,J_chilensis
61,-71.05234684,-32.95405382,J_chilensis
62,-71.55389078,-33.05129849,J_chilensis
63,-71.55056052,-33.05449062,J_chilensis
64,-71.55249139,-33.06463002,J_chilensis
65,-71.54539112,-33.05516685,J_chilensis
66,-71.5456543,-33.06055822,J_chilensis
67,-71.52730822,-33.0653398,J_chilensis
68,-71.52725609,-33.06054827,J_chilensis
69,-71.52553673,-33.0557298,J_chilensis
70,-71.51410989,-33.06176534,J_chilensis
71,-71.52081992,-33.06817789,J_chilensis
72,-71.51784767,-33.06468767,J_chilensis
73,-71.038658,-32.934081,J_chilensis
74,-71.073705,-32.908333,J_chilensis
75,-71.14190253,-32.1865817,J_chilensis
76,-71.1482081,-32.18091859,J_chilensis
77,-71.1521818,-32.17744457,J_chilensis
78,-71.15770215,-32.1817276,J_chilensis
79,-71.16327009,-32.17834877,J_chilensis
80,-71.15858255,-32.17530306,J_chilensis
81,-71.16717241,-32.17544583,J_chilensis
82,-71.16334148,-32.17244771,J_chilensis
83,-71.16189001,-32.16904508,J_chilensis
84,-71.15035676,-32.16413506,J_chilensis
85,-71.14083891,-32.16978628,J_chilensis
86,-71.13798356,-32.16639555,J_chilensis
87,-71.14384298,-32.16583042,J_chilensis
88,-71.14883985,-32.16068484,J_chilensis
89,-71.14402144,-32.15717514,J_chilensis
90,-71.75486578,-35.20588217,J_chilensis
91,-71.75570454,-35.20094182,J_chilensis
92,-71.75816847,-35.19465171,J_chilensis
93,-71.756786,-35.18723017,J_chilensis
94,-71.75465163,-35.18379661,J_chilensis
95,-71.75138775,-35.17955433,J_chilensis
96,-71.157654,-34.19945802,J_chilensis
97,-71.51505098,-33.07581302,J_chilensis
98,-71.07121943,-32.93330578,J_chilensis
99,-71.05733281,-32.95480367,J_chilensis
100,-71.05779222,-32.95459789,J_chilensis
101,-71.5510657,-33.05316427,J_chilensis
102,-71.55105248,-33.05316829,J_chilensis
103,-71.54757902,-33.05262361,J_chilensis
104,-71.54347439,-33.06011363,J_chilensis
105,-71.50919743,-33.06449469,J_chilensis
106,-71.16079545,-32.17287601,J_chilensis
107,-71.14878036,-32.15791872,J_chilensis
108,-71.75496408,-35.1788976,J_chilensis
109,-71.08777,-32.92887,O_degus
110,-70.48,-33.4,O_degus
111,-71.637383,-30.67483,O_degus
112,-71.651975,-30.564575,O_degus
113,-71.2,-28.5,O_degus
114,-70.90778,-28.56483,O_degus
115,-70.34118,-28.56667,O_degus
116,-70.34118,-28.56667,O_degus
117,-70.76667,-28.58333,O_degus
118,-70.76667,-28.58333,O_degus
119,-70.76667,-28.58333,O_degus
120,-70.68311,-29.50138,O_degus
121,-71.11667,-29.88333,O_degus
122,-71.11667,-29.88333,O_degus
123,-71.11667,-29.88333,O_degus
124,-71.26667,-29.9,O_degus
125,-71.26667,-29.9,O_degus
126,-71.25,-30.03532,O_degus
127,-71.25,-30.03532,O_degus
128,-71.26667,-30.2,O_degus
129,-71.26667,-30.2,O_degus
130,-71.61667,-30.53333,O_degus
131,-71.61667,-30.53333,O_degus
132,-71.65,-30.63,O_degus
133,-71.67,-30.63333,O_degus
134,-71.66667,-30.63333,O_degus
135,-71.68625,-30.65224,O_degus
136,-71.68621,-30.65231,O_degus
137,-71.66667,-30.66667,O_degus
138,-71.66667,-30.66667,O_degus
139,-71.66667,-30.66667,O_degus
140,-71.66666,-30.66667,O_degus
141,-71.65264,-30.66908,O_degus
142,-71.61667,-30.68333,O_degus
143,-70.44557,-30.74822,O_degus
144,-71.26197,-30.89674,O_degus
145,-71.1,-31.5,O_degus
146,-71.1092,-31.54586,O_degus
147,-70.95455,-31.69347,O_degus
148,-71.07451,-31.70066,O_degus
149,-71.07672,-31.70732,O_degus
150,-70.96362,-31.72111,O_degus
151,-70.97,-31.78,O_degus
152,-70.58,-31.82,O_degus
153,-71.45,-32.16667,O_degus
154,-71.45,-32.16667,O_degus
155,-71.45,-32.16667,O_degus
156,-71.3,-32.36667,O_degus
157,-71.3,-32.36667,O_degus
158,-71.3,-32.36667,O_degus
159,-71.44689,-32.50733,O_degus
160,-71.45092,-32.50844,O_degus
161,-71.45,-32.51667,O_degus
162,-71.45,-32.51667,O_degus
163,-71.45,-32.51667,O_degus
164,-71.2,-32.78333,O_degus
165,-71.2,-32.78333,O_degus
166,-71.2,-32.78333,O_degus
167,-71.1987,-32.78722,O_degus
168,-71.17137,-32.79823,O_degus
169,-71.13172,-32.79855,O_degus
170,-70.7,-32.8,O_degus
171,-70.98369,-32.86843,O_degus
172,-71.26667,-32.88333,O_degus
173,-71.26667,-32.88333,O_degus
174,-71.26667,-32.88334,O_degus
175,-71.1,-32.9,O_degus
176,-71.07681,-32.94813,O_degus
177,-71.13333,-32.95,O_degus
178,-71.15576,-32.98066,O_degus
179,-71.1308,-32.98167,O_degus
180,-71.16654,-32.98418,O_degus
181,-71.15354,-32.98605,O_degus
182,-71.18863,-32.99758,O_degus
183,-71.2,-33,O_degus
184,-71.26667,-33.01667,O_degus
185,-71.26667,-33.01667,O_degus
186,-71.26667,-33.01667,O_degus
187,-70.98107,-33.01841,O_degus
188,-71.60763,-33.0492,O_degus
189,-71.45,-33.05,O_degus
190,-71.44228,-33.05126,O_degus
191,-70.7479,-33.07864,O_degus
192,-70.93333,-33.08333,O_degus
193,-70.93333,-33.08333,O_degus
194,-70.93333,-33.08333,O_degus
195,-70.61667,-33.10384,O_degus
196,-70.61667,-33.10384,O_degus
197,-70.42321,-33.11706,O_degus
198,-71.51667,-33.13,O_degus
199,-71.40611,-33.14266,O_degus
200,-71.45593,-33.16101,O_degus
201,-70.9,-33.25,O_degus
202,-70.85,-33.26667,O_degus
203,-70.85,-33.26667,O_degus
204,-70.85,-33.26667,O_degus
205,-71.64,-33.27,O_degus
206,-70.88333,-33.28333,O_degus
207,-70.87648,-33.28371,O_degus
208,-71.55,-33.28962,O_degus
209,-71.55,-33.28962,O_degus
210,-70.89834,-33.29106,O_degus
211,-70.55833,-33.33333,O_degus
212,-70.6,-33.35,O_degus
213,-70.51667,-33.38333,O_degus
214,-70.56586,-33.41169,O_degus
215,-70.49247,-33.41494,O_degus
216,-70.49247,-33.41494,O_degus
217,-70.49247,-33.41494,O_degus
218,-70.65,-33.41667,O_degus
219,-70.65,-33.41667,O_degus
220,-70.63088,-33.42022,O_degus
221,-70.63017,-33.42202,O_degus
222,-70.66666,-33.45,O_degus
223,-70.55127,-33.45,O_degus
224,-70.551,-33.45,O_degus
225,-70.667,-33.45,O_degus
226,-70.48,-33.46,O_degus
227,-70.48848,-33.46897,O_degus
228,-70.48848,-33.46897,O_degus
229,-70.48848,-33.46897,O_degus
230,-70.93333,-33.48333,O_degus
231,-70.93333,-33.48333,O_degus
232,-70.93333,-33.48333,O_degus
233,-70.91919,-33.48733,O_degus
234,-70.88527,-33.48816,O_degus
235,-70.53501,-33.48916,O_degus
236,-70.92,-33.49,O_degus
237,-70.89874,-33.49125,O_degus
238,-70.60784,-33.49585,O_degus
239,-70.96667,-33.5,O_degus
240,-70.96667,-33.5,O_degus
241,-70.5318,-33.5636,O_degus
242,-70.72294,-33.58711,O_degus
243,-70.72429,-33.59092,O_degus
244,-71.65,-33.61667,O_degus
245,-71.65,-33.61667,O_degus
246,-71.65,-33.61694,O_degus
247,-70.25,-33.75,O_degus
248,-70.24,-33.78,O_degus
249,-70.2475,-33.7861,O_degus